662,2:105:34:67,1:4:5,5.5
663,5:155,1:4:6,5.5
664,122:10,1:5:6,5.8
665,56,3:6:14,5.6
666,4:88,1:6:11,5.0
667,132:17,4:6,6.2
668,34:66:121,9:6,5.6
669,14,1:5,5.8
670,36,6:13,4.4
671,35:121:151,2:4:5,4.4
672,35:43,6:4,5.3
673,30:60,6:4:11,8.1
674,22,1:6:12,8.2
675,1:45:74,5:6:10,7.4
676,80,17:6,7.0
677,5,1:3:6,8.9
678,131:265,4:6,1.8
679,131:65,4:6,2.3
680,16,1:6,7.4
681,266,11:6,7.5
682,52:59:78,11:6,5.7
683,142:99,11:6,3.5
684,88,3:6:13,8.3
685,38:141,3:6,8.6
686,134,4:6,4.6
687,62,5:6,6.0
688,267,1:6:11,3.3
689,37:86,1:5:13,7.3
690,63:1:55,4:11,5.8
700,2,6:11,8.3
701,10:78,6:5,8.3
702,1:8:95,18:6:11,8.0
703,1,6:11,7.1
704,9:94,6:11:4,7.1
705,2:94:95,6:11:9,7.9
706,1:5:7,6:1,7.6
707,63,6:11,7.2
708,7:41:94,1:2:5,7.5
709,4:41:103,11:6,6.4
710,2:108:40,11:1:4,7.0
711,14,5:6:13,8.0
712,95:2:9,4:6:11,8.0
713,81:9,5:11:13,7.7
714,137:10,5:11:6,7.7
715,25:35,4:6,8.4
716,7,5:6,7.9
717,4:194:168,1:6:11,7.9
718,81:38,1:6,8.1
719,26:265,11:6:4,7.6
720,1:139,11:6,7.5
721,8:95,11:6:14,7.1
722,2:94,11:6,6.6
723,6:125,11:4,6.1
724,9:28,8:2,6.3
725,7:28,1:5:13,8.1
726,2:87:122,9:11,7.6
727,39:94,4:11,4.4
728,1:25:40,1:5:6,6.5
729,28:94,11:6,7.0
730,33:64:103,17:6,4.4
731,38:28,13:6,5.6
732,64:14:2,1:6,6.1
733,24:103:68,1:4:5,4.1
734,8:94:63,9:11:6,5.0
735,39:79,4:6,5.0
738,33:41:245,9:6,5.6
739,24:120:26,9:11:1,6.4
740,4:120,4:6:11,4.7
741,5:40:265,4:5:1,6.4
742,7,3:6:7,8.2
743,2:87:4,11:6,5.4
744,8:9,9:6,5.1
745,68,9:14:8,6.5
746,4,1:4:5,6.7
747,4:63,1:11,4.5
748,33:4:245,4:6:9,6.7
749,5:4:62,4:11,6.8
